Actual Track Score,CNN Prediction,Random Forest Prediction,XGBoost Prediction
30.0,37.97821,60.81819343737881,64.538765
19.7,28.794794,55.73631183169178,58.557343
74.8,53.40849,48.572465734650365,49.35209
28.6,20.820265,62.36519693690131,56.79882
85.5,62.301777,33.53192550559085,36.71568
37.1,41.149,49.826775393681174,55.054783
39.5,40.00366,30.70194941108844,37.30901
20.7,20.711348,51.986090949325856,55.861015
23.8,31.3532,41.507961566902836,44.620983
49.8,30.85148,59.001267207374646,62.374622
116.5,83.364716,52.19393933297333,55.123455
22.4,38.10445,60.37286206108689,58.52126
25.9,29.208347,62.21393505651884,57.378513
55.7,49.31687,38.80448715818618,37.738842
37.5,37.896435,45.30387076635512,42.440235
24.2,17.641027,46.12556942852188,54.95992
59.7,45.140167,54.41280727818908,56.435818
22.3,29.37184,57.745283664660356,56.510868
21.0,25.652245,46.858928300241956,45.45374
22.2,22.421293,40.00601372080335,37.15579
23.6,15.184605,48.43661988019368,45.56014
23.8,39.65756,48.904650434071485,44.841698
20.5,16.083614,38.63552853691745,33.851574
32.8,66.35685,52.839854279565856,56.453793
42.7,33.08541,49.68223327346944,45.977936
21.7,21.425503,44.77818713764114,46.27937
69.3,41.94025,49.47472661693889,77.633865
107.8,69.05856,52.498075260426845,62.85208
31.9,33.6034,36.189487559121915,38.233223
24.2,23.380857,43.95906177250607,48.77165
23.3,24.834223,42.113067660376544,44.06145
23.6,31.365675,51.72336129656188,51.468895
68.7,74.44964,59.3108270911734,57.642704
19.9,23.434244,37.33698380390072,43.56881
206.2,88.9346,60.102304133774645,58.031322
19.7,7.819466,48.08357410822118,54.225933
233.5,101.15947,51.96505891504032,50.89816
24.4,31.287745,58.86543528814414,60.97942
20.9,4.3549004,53.204940532760325,44.9487
26.6,22.221628,71.90500968110172,63.851738
63.8,60.472557,47.46134022197365,48.789726
31.8,32.092968,51.132270501219,61.473625
60.9,97.292496,45.30162007706117,61.888626
177.6,100.20525,55.71471807442893,61.54201
129.7,127.556946,56.094319360092136,63.481266
28.4,19.817356,48.16308873323654,40.240845
50.7,49.71587,37.165140878286444,32.619293
78.6,27.879425,55.975627772801126,48.056057
43.3,32.885227,53.61391809906571,52.994442
37.9,30.834192,49.867907670867176,51.77054
49.8,67.23337,60.841918761500004,60.17993
20.2,21.909018,51.053922494804034,50.69428
45.9,42.427906,44.88950849034146,48.897533
57.1,35.798878,47.23638309815562,42.009632
29.2,30.407656,57.44059977873148,51.274883
22.3,28.693491,59.6579279607385,70.97416
22.9,21.732485,30.237615266786943,58.036877
22.7,26.667953,63.69687444475398,66.02688
24.6,23.412413,72.62212072638576,85.65202
21.3,9.049181,46.74546013099975,52.768112
28.3,21.031546,50.49068124655719,56.388012
27.0,25.646162,56.05436505503253,58.898502
45.2,55.532654,48.07662710140814,51.45113
54.2,37.58921,47.15697604751378,50.877415
35.5,36.837334,47.31075080376419,52.52706
22.1,19.112482,36.991505325165974,42.126064
50.1,15.525625,48.70225727674933,53.230213
32.3,40.50877,56.801205162506484,67.17226
87.0,68.69475,54.22106668688208,52.594822
56.7,108.33149,38.64573804115366,37.221653
34.7,26.377653,51.431408577949234,52.346157
24.4,19.111986,51.857824352307134,70.52308
21.6,18.61658,36.46780964703018,37.94598
38.9,36.459446,65.31512195019138,69.04829
42.4,48.888866,54.51320390194737,50.943573
31.6,32.126637,59.05806059052776,62.542175
